Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-06-17,66.0,71.36,59.0,59.68,1267850,0,0.0
2015-06-18,61.52,61.52,58.96,59.0,127075,0,0.0
2015-06-19,57.92,60.36,56.28,59.0,58075,0,0.0
2015-06-22,60.0,60.0,58.8,59.52,33700,0,0.0
2015-06-23,59.28,60.0,58.68,59.48,15125,0,0.0
2015-06-24,60.0,60.0,58.96,59.12,14150,0,0.0
2015-06-25,59.32,59.64,57.44,59.28,13100,0,0.0
2015-06-26,59.8,60.0,59.12,59.96,24125,0,0.0
2015-06-29,59.6,60.0,58.12,60.0,4650,0,0.0
2015-06-30,59.76,61.18,59.0,60.6,54075,0,0.0
2015-07-01,61.48,63.84,60.76,63.76,27150,0,0.0
2015-07-02,63.64,65.04,61.4,64.36,46025,0,0.0
2015-07-06,64.24,64.24,62.22,63.92,28250,0,0.0
2015-07-07,63.16,64.64,63.04,63.92,11675,0,0.0
2015-07-08,63.12,64.72,62.48,63.44,56600,0,0.0
2015-07-09,63.16,64.0,63.04,63.96,14000,0,0.0
2015-07-10,63.52,67.2,63.52,66.4,22625,0,0.0
2015-07-13,67.48,71.96,64.6,65.64,63875,0,0.0
2015-07-14,65.36,67.52,64.36,66.4,7525,0,0.0
2015-07-15,66.4,67.4,65.04,65.96,17725,0,0.0
2015-07-16,66.88,70.6,65.55,69.96,32050,0,0.0
2015-07-17,70.2,76.8,70.05,76.04,66475,0,0.0
2015-07-20,77.32,78.4,71.0,72.48,41700,0,0.0
2015-07-21,73.0,74.92,70.12,72.56,59025,0,0.0
2015-07-22,72.52,73.8,72.0,73.44,28900,0,0.0
2015-07-23,73.72,74.92,70.16,71.0,61600,0,0.0
2015-07-24,71.24,72.76,66.1,72.4,58950,0,0.0
2015-07-27,69.08,72.88,69.08,72.8,25525,0,0.0
2015-07-28,72.88,72.88,70.56,71.44,26150,0,0.0
2015-07-29,71.28,74.08,70.56,71.24,34725,0,0.0
2015-07-30,71.24,72.72,68.48,69.6,20650,0,0.0
2015-07-31,69.36,71.04,67.2,67.88,14475,0,0.0
2015-08-03,67.96,67.96,66.52,66.88,14950,0,0.0
2015-08-04,66.8,71.12,66.8,69.2,32300,0,0.0
2015-08-05,70.56,71.44,68.64,70.76,25550,0,0.0
2015-08-06,71.36,72.28,69.32,70.48,13975,0,0.0
2015-08-07,70.32,71.36,68.08,70.84,22600,0,0.0
2015-08-10,71.44,71.44,69.52,69.96,10050,0,0.0
2015-08-11,70.0,71.48,68.64,71.48,15125,0,0.0
2015-08-12,71.16,71.2,69.0,69.28,9625,0,0.0
2015-08-13,69.2,70.52,66.6,67.32,17125,0,0.0
2015-08-14,68.04,69.04,64.48,68.96,55625,0,0.0
2015-08-17,69.12,75.24,66.04,72.68,7675,0,0.0
2015-08-18,72.36,74.6,68.34,73.04,5775,0,0.0
2015-08-19,72.6,75.36,69.48,74.16,21725,0,0.0
2015-08-20,73.48,75.96,70.48,74.6,23350,0,0.0
2015-08-21,74.04,81.72,73.96,80.64,24700,0,0.0
2015-08-24,78.6,79.12,69.61,70.28,23725,0,0.0
